trv_loc_nm,yw,bubble_cnt
강원도,201939,16
충청북도,201939,9
충청남도,201939,14
전라북도,201939,8
전라남도,201939,10
경상북도,201939,13
경상남도,201939,11
제주특별자치도,201939,5
서울특별시,201940,16
부산광역시,201940,8
대구광역시,201940,5
인천광역시,201940,13
광주광역시,201940,4
대전광역시,201940,4
울산광역시,201940,2
세종특별자치시,201940,1
경기도,201940,24
강원도,201940,19
충청북도,201940,10
충청남도,201940,15
전라북도,201940,9
전라남도,201940,11
경상북도,201940,15
경상남도,201940,13
제주특별자치도,201940,5
서울특별시,201941,15
부산광역시,201941,8
대구광역시,201941,6
인천광역시,201941,13
광주광역시,201941,4
대전광역시,201941,4
울산광역시,201941,2
세종특별자치시,201941,1
경기도,201941,24
강원도,201941,20
충청북도,201941,10
충청남도,201941,15
전라북도,201941,10
전라남도,201941,11
경상북도,201941,15
경상남도,201941,13
제주특별자치도,201941,6
서울특별시,201942,15
부산광역시,201942,8
대구광역시,201942,5
인천광역시,201942,12
광주광역시,201942,4
대전광역시,201942,5
울산광역시,201942,2
세종특별자치시,201942,1
경기도,201942,23
강원도,201942,21
충청북도,201942,10
충청남도,201942,14
전라북도,201942,9
전라남도,201942,11
경상북도,201942,15
경상남도,201942,12
제주특별자치도,201942,6
서울특별시,201943,16
부산광역시,201943,8
대구광역시,201943,6
인천광역시,201943,12
광주광역시,201943,4
대전광역시,201943,5
울산광역시,201943,2
세종특별자치시,201943,1
경기도,201943,24
강원도,201943,22
충청북도,201943,11
충청남도,201943,15
전라북도,201943,10
전라남도,201943,13
경상북도,201943,17
경상남도,201943,14
제주특별자치도,201943,6
서울특별시,201944,14
부산광역시,201944,8
대구광역시,201944,5
인천광역시,201944,10
광주광역시,201944,3
대전광역시,201944,4
울산광역시,201944,2
세종특별자치시,201944,1
경기도,201944,21
강원도,201944,18
충청북도,201944,10
충청남도,201944,12
전라북도,201944,11
전라남도,201944,12
경상북도,201944,16
경상남도,201944,13
제주특별자치도,201944,6
서울특별시,201945,15
부산광역시,201945,8
대구광역시,201945,5
인천광역시,201945,11
광주광역시,201945,4
대전광역시,201945,5
울산광역시,201945,2
세종특별자치시,201945,1
경기도,201945,22
강원도,201945,17
충청북도,201945,10
충청남도,201945,13
전라북도,201945,12
전라남도,201945,13
경상북도,201945,16
경상남도,201945,14
제주특별자치도,201945,6
서울특별시,201946,15
부산광역시,201946,9
대구광역시,201946,6
인천광역시,201946,11
광주광역시,201946,4
대전광역시,201946,5
울산광역시,201946,2
세종특별자치시,201946,1
경기도,201946,20
강원도,201946,15
충청북도,201946,10
충청남도,201946,12
전라북도,201946,10
전라남도,201946,11
경상북도,201946,14
경상남도,201946,12
제주특별자치도,201946,6
서울특별시,201947,14
부산광역시,201947,8
대구광역시,201947,5
인천광역시,201947,10
광주광역시,201947,3
대전광역시,201947,4
